iter	MAE	RMSE
0	0.6616003678	0.7969150191
1	0.651763143	0.7848108439
2	0.6433105805	0.7743288687
3	0.6342065638	0.7628098268
4	0.6252696559	0.7519044941
5	0.6158900277	0.7402543771
6	0.6071642947	0.7298240322
7	0.5987066658	0.7197849309
8	0.590284177	0.709039295
9	0.5839515552	0.700653569
10	0.5759175203	0.6910850554
11	0.5666797794	0.6804445383
12	0.5583471594	0.6698579957
13	0.5502280843	0.659741307
14	0.5415329061	0.6489999841
15	0.5336270814	0.639508256
16	0.5274310333	0.6313294758
17	0.5209070306	0.622970188
18	0.5138055018	0.6141657034
19	0.505726609	0.6047240186
20	0.498245633	0.5955739362
21	0.4913222823	0.5872548791
22	0.4842146132	0.5787617505
23	0.4773150926	0.5706981239
24	0.4710977163	0.5632127302
25	0.4640851407	0.5547910443
26	0.4569142163	0.5461521261
27	0.4498779887	0.5383530759
28	0.4444505008	0.5317875677
29	0.4386673609	0.5247526798
30	0.4321633956	0.5168273442
31	0.4259568339	0.5095528674
32	0.4199948213	0.5024082821
33	0.4146877284	0.4959799638
34	0.4073825558	0.4880467109
35	0.4019237623	0.4816594436
36	0.3976116565	0.4762823743
37	0.3925375912	0.4705658275
38	0.3866994121	0.4634296785
39	0.3804231313	0.4564799928
40	0.375507643	0.4508633912
41	0.3696886302	0.4442011417
42	0.3648153257	0.4384487375
43	0.3585274356	0.4317581009
44	0.3532710862	0.4258455129
45	0.3483569203	0.4202052529
46	0.3431040371	0.414327184
47	0.3377955992	0.4085013471
48	0.3339583759	0.4038444923
49	0.3290817365	0.3986298071
50	0.3244962343	0.3934359594
51	0.3198391527	0.3882317326
52	0.3156517084	0.3832244594
53	0.3113190337	0.3781650908
54	0.3067243945	0.3732486252
55	0.302801188	0.3687967182
56	0.2986637505	0.3642109342
57	0.2943001656	0.3593325777
58	0.2895865122	0.3544178427
59	0.2856920373	0.3501609086
60	0.2815999515	0.3456422301
61	0.2777079998	0.3414621169
62	0.2736439079	0.3370165248
63	0.2699279507	0.333062606
64	0.2666336298	0.3293965276
65	0.2644305529	0.3265281629
66	0.2611994661	0.322833151
67	0.2575075291	0.3186741662
68	0.2539366657	0.3149229478
69	0.2507725598	0.3114300358
70	0.247224474	0.3074856873
71	0.2441370159	0.3040214963
72	0.2412452489	0.3007978969
73	0.2378058865	0.2970294227
74	0.2352636442	0.2939366468
75	0.232187774	0.2905298826
76	0.2291099783	0.2871023307
77	0.2260591984	0.2837852556
78	0.2233698711	0.2804839019
79	0.2205518164	0.2772876457
80	0.2182126256	0.274715028
81	0.2157040879	0.2717501927
82	0.2130852602	0.2688822216
83	0.2108803452	0.2661110241
84	0.20870018	0.2635875682
85	0.2058953517	0.260424662
86	0.203868398	0.2579690205
87	0.2018250607	0.2554694841
88	0.1999326796	0.2531813667
89	0.1976719665	0.2506784819
90	0.1957706039	0.248365047
91	0.193923663	0.2461575788
92	0.1919143377	0.2436528405
93	0.1898634842	0.241027781
94	0.1877684501	0.2385949385
