iter	Passed	Remaining
0	7	7491
1	8	3994
2	8	2826
3	8	2233
4	9	1906
5	10	1672
6	10	1503
7	11	1373
8	11	1279
9	12	1208
10	12	1144
11	13	1098
12	13	1033
13	14	993
14	14	957
15	15	926
16	15	897
17	16	873
18	16	851
19	16	831
20	17	813
21	17	797
22	18	781
23	18	767
24	19	753
25	19	742
26	20	731
27	20	721
28	21	711
29	21	702
30	22	693
31	22	685
32	23	678
33	23	671
34	24	666
35	24	660
36	25	655
37	25	651
38	26	646
39	26	644
40	27	642
41	27	637
42	28	632
43	28	628
44	29	625
45	29	621
46	30	617
47	30	613
48	31	609
49	31	605
50	32	601
51	32	598
52	33	595
53	33	591
54	34	589
55	34	587
56	35	584
57	35	581
58	36	579
59	36	576
60	37	573
61	37	571
62	38	568
63	38	567
64	39	567
65	39	565
66	40	564
67	41	563
68	41	563
69	42	561
70	42	559
71	43	557
72	43	555
73	44	553
74	44	551
75	45	549
76	45	547
77	46	545
78	46	544
79	47	542
80	47	540
81	48	538
82	48	536
83	49	535
84	49	533
85	50	532
86	50	530
87	51	529
88	51	527
89	52	526
90	52	524
91	53	523
92	53	523
93	54	522
94	54	521
95	55	519
96	55	519
97	56	518
98	56	517
99	57	516
100	57	515
101	58	514
102	58	512
103	59	511
104	59	510
105	60	509
106	60	508
107	61	507
108	61	505
109	62	504
110	62	503
111	63	502
112	63	501
113	64	500
114	64	499
115	65	498
116	65	496
117	66	495
118	66	494
119	67	493
120	67	492
121	68	491
122	68	490
123	69	489
124	69	488
125	70	487
126	70	486
127	71	485
128	71	485
129	72	484
130	72	483
131	73	482
132	73	479
133	74	478
134	74	477
135	75	476
136	75	475
137	75	474
138	76	473
139	76	472
140	77	471
141	77	471
142	78	470
143	78	469
144	79	468
145	79	467
146	80	466
147	80	465
148	81	464
149	81	463
150	82	463
151	82	462
152	83	461
153	84	461
154	84	460
155	84	459
156	85	458
157	85	458
158	86	457
159	86	456
160	87	455
161	87	454
162	88	453
163	88	453
164	89	452
165	89	451
166	90	450
167	90	449
168	91	448
169	91	448
170	92	447
171	92	446
172	93	445
173	93	444
174	94	444
175	94	443
176	95	442
177	95	442
178	96	441
179	96	440
180	97	439
181	97	439
182	98	438
183	98	437
184	99	437
185	99	436
186	100	435
187	100	435
188	101	434
189	101	433
190	102	432
191	102	432
192	103	431
193	103	430
194	104	430
195	104	429
196	105	428
197	105	427
198	106	427
199	106	426
200	107	425
201	107	425
202	108	424
203	108	423
204	109	422
205	109	422
206	110	421
207	110	420
208	111	420
209	111	419
210	111	418
211	112	418
212	113	417
213	113	417
214	114	416
215	114	415
216	115	415
217	115	414
218	116	413
219	116	413
220	117	412
221	117	411
222	117	410
223	118	410
224	118	409
225	119	409
226	119	408
227	120	407
228	120	407
229	121	406
230	121	405
231	122	405
232	122	404
233	123	403
234	123	403
235	124	402
236	124	401
237	125	401
238	125	400
239	126	399
240	126	399
241	127	398
242	127	398
243	128	397
244	128	396
245	129	396
246	129	395
247	130	395
248	130	394
249	131	393
250	131	393
251	132	392
252	132	392
253	133	391
254	133	390
255	134	390
256	134	389
257	135	388
258	135	388
259	136	387
260	136	387
261	137	386
262	137	385
263	138	385
264	138	384
265	139	384
266	139	383
267	140	382
268	140	382
269	141	381
270	141	380
271	142	380
272	142	379
273	143	379
274	143	378
275	144	378
276	144	377
277	145	376
278	145	376
279	146	375
280	146	375
281	147	374
282	147	373
283	148	373
284	148	372
285	149	372
286	149	371
287	150	370
288	150	370
289	151	369
290	151	369
291	152	368
292	152	368
293	153	367
294	153	367
295	154	366
296	154	365
297	154	365
298	155	364
299	155	363
300	156	363
301	157	362
302	157	362
303	158	361
304	158	361
305	158	360
306	159	360
307	159	359
308	160	358
309	160	358
310	161	357
311	161	357
312	162	356
313	162	355
314	163	355
315	163	354
316	164	354
317	164	353
318	165	352
319	165	352
320	166	351
321	166	351
322	167	350
323	167	349
324	168	349
325	168	348
326	169	348
327	169	347
328	170	346
329	170	346
330	171	345
331	171	345
332	172	344
333	172	344
334	173	343
335	173	343
336	174	342
337	174	341
338	175	341
339	175	340
340	175	340
341	176	339
342	177	339
343	177	338
344	177	337
345	178	337
346	178	336
347	179	336
348	179	335
349	180	334
350	180	334
351	181	333
352	181	333
353	182	332
354	182	332
355	183	331
356	183	331
357	184	330
358	184	329
359	185	329
360	185	328
361	186	328
362	186	327
363	187	327
364	187	326
365	188	325
366	188	325
367	189	324
368	189	324
369	190	323
370	190	323
371	191	322
372	191	322
373	192	321
374	192	320
375	192	320
376	193	319
377	193	319
378	194	318
379	194	317
380	195	317
381	195	316
382	196	316
383	196	315
384	197	315
385	197	314
386	198	313
387	198	313
388	199	312
389	199	312
390	200	311
391	200	310
392	200	310
393	201	309
394	201	309
395	202	308
396	202	308
397	203	307
398	203	307
399	204	306
400	204	305
401	205	305
402	205	304
403	206	304
404	206	303
405	207	303
406	207	302
407	208	302
408	208	301
409	209	300
410	209	300
411	210	299
412	210	299
413	210	298
414	211	298
415	211	297
416	212	296
417	212	296
418	213	295
419	213	295
420	214	294
421	214	294
422	215	293
423	215	293
424	216	292
425	216	291
426	217	291
427	217	290
428	218	290
429	218	289
430	219	289
431	219	288
432	220	288
433	220	287
434	220	286
435	221	286
436	221	285
437	222	285
438	222	284
439	223	284
440	223	283
441	224	283
442	224	282
443	225	282
444	225	281
445	226	280
446	226	280
447	227	279
448	227	279
449	228	278
450	228	278
451	229	277
452	229	277
453	230	276
454	230	276
455	231	275
456	231	275
457	231	274
458	232	273
459	232	273
460	233	272
461	233	272
462	234	271
463	234	271
464	235	270
465	235	270
466	236	269
467	236	269
468	237	268
469	237	268
470	238	267
471	238	266
472	239	266
473	239	265
474	240	265
475	240	264
476	240	264
477	241	263
478	241	263
479	242	262
480	242	262
481	243	261
482	243	261
483	244	260
484	244	259
485	245	259
486	245	258
487	246	258
488	246	257
489	247	257
490	247	256
491	248	256
492	248	255
493	249	255
494	249	254
495	250	254
496	250	253
497	250	252
498	251	252
499	251	251
500	252	251
501	252	250
502	253	250
503	253	249
504	254	249
505	254	248
506	255	248
507	255	247
508	256	247
509	256	246
510	257	246
511	257	245
512	258	244
513	258	244
514	259	243
515	259	243
516	259	242
517	260	242
518	260	241
519	261	241
520	261	240
521	262	240
522	262	239
523	263	239
524	263	238
525	264	238
