iter	F1	Logloss
0	0.8644688645	0.6378560575
1	0.8509090909	0.6024692729
2	0.8782287823	0.5680971753
3	0.8864468864	0.5363034434
4	0.8937728938	0.5092144432
5	0.8970588235	0.487081044
6	0.8913043478	0.470391514
7	0.897810219	0.4571484985
8	0.8937728938	0.4433154734
9	0.8937728938	0.4270211359
10	0.8905109489	0.4149897287
11	0.8832116788	0.4048388047
12	0.8905109489	0.3957190662
13	0.8880866426	0.38798832
14	0.8937728938	0.3784099434
15	0.8929889299	0.3707947726
16	0.9037037037	0.362396933
17	0.9003690037	0.3553909552
18	0.9003690037	0.3475425519
19	0.9037037037	0.3426048164
20	0.9044117647	0.3368862804
21	0.9044117647	0.3300497658
22	0.9151291513	0.3244568243
23	0.9219330855	0.3212297593
24	0.9111111111	0.3171988779
25	0.9144981413	0.3136383216
