iter	MAE	RMSE
0	0.3599502191	1.073244271
1	0.3449965913	1.043317277
2	0.3306150033	1.014719382
3	0.3161484039	0.9881882888
4	0.3022776987	0.9597858382
5	0.2897799501	0.9342162415
6	0.2789601805	0.9101138673
7	0.2677175832	0.8883637397
8	0.2583202308	0.8655609607
9	0.2489886765	0.8455852059
10	0.2411722684	0.8280181018
11	0.2347514173	0.8118539967
12	0.227033584	0.7944676905
13	0.2204964606	0.778749017
14	0.2141109538	0.7644231754
15	0.2083227048	0.7500413656
16	0.2026623495	0.7359894332
17	0.1990683884	0.7257366741
18	0.1941099231	0.7131565098
19	0.1899186391	0.7014587741
20	0.1866811156	0.6908094092
21	0.1827880678	0.6804183631
22	0.1790100184	0.6694438775
23	0.1758639898	0.6603465814
24	0.173446083	0.6513109067
25	0.1705936446	0.6442804351
26	0.1675569922	0.6379571891
27	0.1650319941	0.6305224191
28	0.1625147405	0.6234022698
29	0.1607933845	0.6169049278
30	0.1588051548	0.6113551667
31	0.1568099665	0.605331017
32	0.1553103561	0.6009298255
33	0.1537579245	0.5964223227
34	0.1516830569	0.5916247644
35	0.1504886769	0.5877796565
36	0.1492488526	0.5836338166
37	0.1476275769	0.5791138089
38	0.1463364083	0.5760391177
39	0.1451945795	0.5724317798
40	0.1438044787	0.5669238759
41	0.142542645	0.56197039
42	0.1416460967	0.558807923
43	0.1404700257	0.5547701641
44	0.1393999566	0.5501263714
45	0.1383235802	0.5458876356
46	0.1373293084	0.5430199828
47	0.136258815	0.5393806532
48	0.1352893114	0.5356900715
49	0.1343325123	0.5323260424
50	0.1331719388	0.5287254717
51	0.1321185265	0.5235287042
52	0.130905938	0.5207402603
53	0.1301487916	0.5179605113
54	0.1297302698	0.5165910529
55	0.1290478318	0.5136881081
56	0.1283275258	0.5119882933
57	0.1278238633	0.5097004184
58	0.1271447756	0.5076844929
59	0.1265783054	0.5059593586
60	0.1258441538	0.5035269145
61	0.1250273969	0.5010788142
62	0.1240972716	0.5003978465
63	0.123097507	0.4984271326
64	0.1223759787	0.4969059396
65	0.1219122668	0.4955456784
66	0.1212009167	0.4935413978
67	0.1205460751	0.4899363392
68	0.1198824912	0.487857396
69	0.1191670363	0.483386537
70	0.1187183967	0.4806936233
71	0.1181940422	0.479819998
72	0.1175088336	0.4787548341
73	0.1171400946	0.4777418532
74	0.1166320456	0.4764760813
75	0.1160725606	0.4742533285
76	0.1155065182	0.4717881969
77	0.1149140085	0.4698385453
78	0.1145315216	0.467417285
79	0.1140992005	0.4649326654
80	0.1137840142	0.4637666337
81	0.113312173	0.4610400781
82	0.1129071434	0.4598191972
83	0.1125364245	0.4580932162
84	0.1118612692	0.4558422262
85	0.111627148	0.4548420103
86	0.1113269485	0.4536450763
87	0.1107167043	0.4523754496
88	0.1101825471	0.4514585968
89	0.1097916668	0.4495897287
90	0.1093773932	0.4473973231
91	0.1090652583	0.4462981397
92	0.1086734312	0.4432494733
93	0.1084126474	0.4424355787
94	0.1081954065	0.4421125159
95	0.107750775	0.4410216746
96	0.1073110107	0.4399000699
97	0.1067357412	0.4375044862
98	0.10623876	0.4340720167
99	0.1059641977	0.4316309302
100	0.1054894073	0.4301822394
101	0.1051062164	0.4291262429
102	0.1047816509	0.4285467697
103	0.1043135999	0.4272727645
104	0.1038869544	0.4251523455
105	0.103647313	0.4243835004
106	0.1033499389	0.4234205446
107	0.1028800486	0.4206660768
108	0.1026267345	0.419940736
109	0.1023152418	0.4180523519
110	0.1019003237	0.4164912169
111	0.1016913607	0.4157825934
112	0.1015543116	0.4148799493
113	0.1012281021	0.412640833
114	0.1009599526	0.4101849729
115	0.100566763	0.408332834
116	0.1002991585	0.4072518156
117	0.09995988898	0.404687022
118	0.09979382138	0.4041088378
119	0.09966493764	0.4038551288
120	0.0994317158	0.403029412
121	0.09934379594	0.4026387702
122	0.09897507671	0.4010235773
123	0.09875655957	0.4003628874
124	0.09845323486	0.3992586126
125	0.09820646778	0.3966033736
126	0.09774699109	0.3952503801
127	0.09761910873	0.394842654
128	0.09749137119	0.3943567595
129	0.09723832832	0.3934637585
130	0.09700824799	0.3922668714
131	0.09661781471	0.3916478052
132	0.0963731539	0.3902818179
133	0.09619629912	0.3884406717
134	0.09596069582	0.3879466883
135	0.09564691788	0.3858063866
136	0.09533826366	0.3842833843
137	0.09513046014	0.3837185556
138	0.09498335485	0.3831804141
139	0.09468788126	0.3822437166
140	0.09445737876	0.3817331992
141	0.09409619813	0.3807678035
142	0.09376275143	0.3798800629
143	0.09347163955	0.3785942463
144	0.09330713652	0.3779193932
145	0.09295482278	0.376880018
146	0.09281822745	0.3764114179
147	0.09269134698	0.375726226
148	0.09239585283	0.373408666
149	0.09207535291	0.3713936327
150	0.09191013958	0.3708352831
151	0.09165618321	0.3690285495
152	0.09154245263	0.3686276622
153	0.09142479536	0.367175553
