iter	Passed	Remaining
0	2	2888
1	5	2816
2	8	2938
3	11	2986
4	14	2820
5	16	2742
6	19	2704
7	21	2667
8	24	2706
9	26	2648
10	28	2594
11	30	2534
12	33	2506
13	35	2502
14	38	2497
15	40	2476
16	42	2459
17	44	2430
18	46	2419
19	49	2413
20	51	2419
21	55	2450
22	60	2571
23	63	2562
24	65	2559
25	68	2580
26	71	2579
27	74	2589
28	77	2597
29	79	2585
30	82	2577
31	84	2566
32	87	2564
33	90	2559
34	92	2552
35	94	2540
36	97	2525
37	99	2528
38	102	2522
39	105	2523
40	107	2512
41	109	2501
42	112	2494
43	114	2492
44	117	2485
45	119	2475
46	121	2469
47	124	2465
48	126	2457
49	128	2449
50	131	2440
51	133	2438
52	136	2431
53	138	2424
54	140	2415
55	142	2406
56	145	2399
57	147	2395
58	149	2385
59	152	2383
60	154	2375
61	156	2374
62	159	2370
63	161	2367
64	164	2364
65	166	2355
66	168	2352
67	171	2346
68	173	2338
69	175	2328
70	177	2321
71	180	2323
72	182	2322
73	185	2316
74	187	2310
75	189	2304
76	191	2298
77	193	2290
78	196	2286
79	198	2284
80	201	2282
81	203	2280
82	205	2274
83	208	2270
84	210	2268
85	214	2274
86	216	2270
87	233	2421
88	236	2419
89	238	2412
90	240	2405
91	243	2402
92	246	2400
93	248	2394
94	250	2390
95	253	2386
96	258	2410
97	261	2409
98	265	2416
99	268	2417
100	270	2410
101	273	2408
102	276	2411
103	280	2412
104	282	2406
105	285	2406
106	287	2399
107	290	2399
108	293	2395
109	296	2396
110	298	2394
111	301	2392
112	304	2389
113	309	2403
114	311	2398
115	314	2395
116	316	2390
117	319	2386
118	322	2384
119	324	2380
120	327	2377
121	330	2377
122	332	2374
123	335	2371
124	339	2377
125	342	2374
126	344	2370
127	347	2367
128	349	2363
129	352	2357
130	354	2353
131	356	2347
132	359	2342
133	361	2336
134	364	2332
135	366	2327
136	369	2324
137	371	2319
138	373	2312
139	375	2306
140	377	2302
141	380	2296
142	382	2291
143	384	2288
144	387	2283
145	389	2280
146	392	2276
147	395	2275
148	397	2272
149	400	2267
150	402	2265
151	405	2262
152	407	2258
153	410	2254
154	412	2251
155	415	2245
156	417	2242
157	419	2236
158	422	2233
159	424	2229
160	426	2224
161	428	2219
162	431	2215
163	437	2232
164	440	2228
165	443	2228
166	445	2222
167	448	2220
168	451	2218
169	453	2215
170	456	2212
171	458	2208
172	460	2203
173	463	2198
174	465	2196
175	468	2191
176	470	2187
177	472	2183
178	475	2179
179	482	2199
180	485	2198
181	488	2195
182	490	2191
183	494	2191
184	497	2192
185	500	2188
186	502	2185
187	505	2181
188	507	2178
189	509	2173
190	512	2169
191	514	2164
192	516	2159
193	518	2155
194	521	2151
195	523	2147
196	525	2142
197	527	2137
198	529	2133
199	532	2129
200	534	2125
201	536	2121
202	539	2116
203	541	2112
204	543	2108
205	546	2106
206	548	2102
207	550	2097
208	553	2093
209	555	2090
210	558	2087
211	560	2083
212	562	2079
213	564	2074
214	567	2070
215	569	2066
216	571	2062
217	573	2058
218	575	2054
219	578	2050
220	580	2046
221	583	2043
222	585	2040
223	588	2039
224	591	2037
225	593	2033
226	595	2029
227	598	2027
228	601	2023
229	603	2020
230	606	2018
231	608	2014
232	611	2011
233	613	2009
234	616	2008
235	619	2005
236	622	2004
237	625	2002
238	627	1998
239	634	2009
240	638	2009
241	646	2024
242	649	2022
243	651	2018
244	655	2019
245	657	2015
246	660	2014
247	663	2011
248	665	2008
249	677	2031
250	679	2027
251	682	2025
252	684	2022
253	687	2018
254	689	2014
255	692	2012
256	695	2010
257	698	2008
258	701	2006
259	703	2002
260	705	1998
261	708	1994
262	710	1991
263	713	1989
264	715	1985
265	718	1981
266	720	1978
267	737	2013
268	740	2012
269	743	2009
270	745	2005
271	750	2007
272	752	2004
273	754	2000
274	757	1996
275	760	1994
276	762	1990
277	764	1986
278	767	1982
279	770	1982
280	773	1978
281	775	1974
282	778	1971
283	797	2009
284	799	2005
285	802	2002
286	807	2007
287	810	2004
288	813	2002
289	816	2000
290	819	1996
291	828	2008
292	832	2009
293	835	2006
294	838	2002
295	840	1999
296	842	1995
297	845	1991
298	847	1987
299	850	1983
300	852	1979
301	854	1975
302	857	1972
303	860	1970
304	862	1966
305	865	1962
306	867	1958
307	870	1954
308	872	1951
309	875	1947
310	877	1945
311	880	1942
312	882	1937
313	885	1933
314	887	1929
315	890	1926
316	892	1923
317	895	1919
318	897	1916
319	900	1912
320	902	1909
321	905	1906
322	907	1902
323	910	1899
324	912	1896
325	915	1893
326	918	1889
327	920	1885
328	922	1882
329	925	1878
330	927	1874
331	929	1870
332	932	1867
333	934	1864
334	936	1859
335	940	1858
336	942	1854
337	944	1850
338	946	1846
339	949	1842
340	951	1839
341	953	1835
342	956	1832
343	960	1830
344	962	1827
345	964	1823
346	966	1819
347	968	1815
348	971	1811
349	973	1807
350	975	1804
351	977	1800
352	980	1796
353	982	1793
354	985	1790
355	987	1786
356	990	1783
357	992	1780
358	994	1776
359	997	1772
360	1000	1770
361	1002	1766
362	1004	1763
363	1007	1760
364	1011	1759
365	1014	1756
366	1016	1754
367	1020	1752
368	1023	1750
369	1025	1746
370	1028	1743
371	1031	1741
372	1034	1739
373	1037	1736
374	1039	1732
375	1041	1729
376	1044	1725
377	1047	1723
378	1049	1720
379	1052	1717
380	1055	1714
381	1057	1711
382	1060	1707
383	1062	1704
384	1065	1701
385	1067	1698
386	1070	1695
387	1073	1692
388	1075	1688
389	1077	1685
390	1080	1682
391	1082	1678
392	1084	1675
393	1086	1671
394	1088	1667
395	1090	1663
396	1092	1659
397	1094	1655
398	1097	1652
399	1099	1649
400	1101	1645
401	1104	1642
402	1106	1639
403	1109	1636
404	1111	1633
405	1114	1630
406	1116	1626
407	1118	1622
408	1120	1619
409	1123	1616
410	1125	1612
411	1127	1609
412	1130	1606
413	1132	1603
414	1135	1599
415	1137	1596
416	1139	1593
417	1141	1589
418	1143	1586
419	1146	1583
420	1148	1580
421	1151	1576
422	1153	1573
423	1156	1570
424	1158	1567
425	1161	1564
426	1163	1561
427	1166	1558
428	1168	1555
429	1170	1551
430	1172	1548
431	1175	1545
432	1178	1543
433	1181	1540
434	1184	1538
435	1186	1534
436	1188	1531
437	1190	1527
438	1193	1525
439	1196	1522
440	1198	1519
441	1201	1516
442	1204	1514
443	1206	1510
444	1209	1508
445	1211	1504
446	1213	1501
447	1216	1498
448	1218	1495
449	1220	1491
450	1224	1490
451	1226	1487
452	1228	1483
453	1231	1480
454	1233	1477
455	1235	1474
456	1238	1471
457	1241	1469
458	1245	1467
459	1248	1465
460	1250	1462
461	1253	1459
462	1256	1457
463	1259	1454
464	1263	1453
465	1266	1451
466	1269	1448
467	1271	1445
468	1274	1443
469	1277	1440
470	1279	1437
471	1281	1434
472	1284	1431
473	1288	1429
474	1290	1426
475	1292	1423
476	1295	1420
477	1297	1417
478	1300	1414
479	1304	1413
480	1307	1410
481	1310	1407
482	1312	1405
483	1315	1402
484	1318	1400
485	1321	1397
486	1323	1394
487	1325	1391
488	1328	1388
489	1331	1385
490	1333	1382
491	1336	1379
492	1338	1376
493	1340	1373
494	1343	1370
495	1345	1366
496	1347	1363
497	1350	1361
498	1355	1360
499	1358	1358
500	1360	1355
501	1363	1352
502	1366	1349
503	1368	1346
504	1371	1344
505	1374	1341
506	1377	1339
507	1379	1336
508	1382	1333
509	1384	1330
510	1387	1327
511	1389	1324
512	1392	1321
513	1394	1318
514	1397	1316
515	1399	1313
516	1402	1309
517	1404	1306
518	1406	1303
519	1409	1300
520	1411	1297
521	1414	1295
522	1416	1291
523	1418	1288
524	1421	1285
525	1424	1283
526	1426	1280
527	1428	1277
528	1431	1274
529	1433	1271
530	1436	1268
531	1438	1265
532	1440	1262
533	1443	1259
534	1445	1256
535	1448	1253
536	1450	1250
537	1453	1248
538	1456	1245
539	1458	1242
540	1460	1239
541	1463	1236
542	1465	1233
543	1468	1230
